seconds,hertz,word
1.14,138.64,
1.15,138.64,
1.16,138.64,
1.17,138.64,
1.18,138.64,
1.33,138.64,
1.34,138.64,
1.35,134.7,
1.36,134.7,
1.37,134.7,
1.38,134.7,
1.39,134.7,
1.4,134.7,
1.41,134.7,
1.42,134.7,
1.64,142.7,
1.65,142.7,
1.66,142.7,
1.67,142.7,
1.68,142.7,
1.74,134.7,
1.75,134.7,
1.76,130.86,
1.77,130.86,
1.78,,
1.79,130.86,
1.8,130.86,
1.81,130.86,
1.82,,
1.83,130.86,
1.84,130.86,
1.85,130.86,
2,151.19,
2.01,151.19,
2.02,146.89,
2.03,142.7,
2.04,142.7,
2.05,138.64,
2.06,138.64,
2.07,138.64,
2.08,138.64,
2.09,138.64,
2.1,138.64,
2.11,138.64,
2.12,138.64,
2.17,142.7,
2.18,142.7,
2.19,142.7,
2.2,142.7,
2.21,142.7,
2.22,146.89,
2.57,185.07,
2.58,185.07,
2.59,190.49,
2.6,196.07,
2.61,201.82,
2.62,213.82,
2.63,220.08,
2.64,220.08,
2.65,226.53,
2.66,226.53,
2.67,226.53,
2.68,226.53,
2.69,226.53,
2.7,226.53,
2.76,226.53,
2.77,226.53,
2.78,226.53,
2.79,226.53,
2.8,213.82,
2.81,213.82,
2.82,207.73,
2.83,207.73,
2.84,201.82,
2.85,201.82,
2.98,233.17,
2.99,233.17,
3,226.53,
3.01,220.08,
3.02,213.82,
3.03,207.73,
3.04,207.73,
3.05,207.73,
3.06,207.73,
3.07,207.73,
3.08,207.73,
3.09,207.73,
3.1,201.82,
3.11,201.82,
3.12,196.07,
3.13,196.07,
3.14,190.49,
3.15,185.07,
3.16,179.8,
3.39,190.49,
3.4,190.49,
3.41,179.8,
3.42,179.8,
3.43,179.8,
3.44,179.8,
3.54,169.71,
3.55,169.71,
3.56,169.71,
3.57,169.71,
3.58,160.18,
3.59,160.18,
3.6,160.18,
3.61,160.18,
3.62,160.18,
3.63,160.18,
3.77,185.07,
3.78,179.8,
3.79,179.8,
3.8,174.68,
3.81,174.68,
3.82,174.68,
3.83,174.68,
3.84,174.68,
3.85,174.68,
3.86,169.71,
3.87,169.71,
3.88,169.71,
3.89,169.71,
3.9,169.71,
3.91,160.18,
3.92,160.18,
3.93,160.18,
3.94,160.18,
3.95,155.62,
3.96,151.19,
3.97,151.19,
3.98,151.19,
4.07,185.07,
4.08,185.07,
4.09,179.8,
4.1,174.68,
4.11,174.68,
4.12,169.71,
4.13,160.18,
4.14,160.18,
4.15,160.18,
4.16,160.18,
4.17,155.62,
4.18,151.19,
4.19,151.19,
4.2,151.19,
4.21,151.19,
4.22,151.19,
4.23,155.62,
4.63,160.18,
4.64,160.18,
4.65,160.18,
4.66,160.18,
4.67,160.18,
4.68,160.18,
4.69,160.18,
4.7,155.62,
4.71,155.62,
4.72,155.62,
4.73,155.62,
5.01,190.49,
5.02,190.49,
5.03,190.49,
5.71,146.89,
5.72,146.89,
5.73,146.89,
5.74,142.7,
5.75,142.7,
5.94,190.49,
5.95,190.49,
5.96,179.8,
5.97,179.8,
6.67,179.8,
6.68,179.8,
6.69,174.68,
6.7,164.87,
6.71,164.87,
6.72,160.18,
6.73,160.18,
6.74,155.62,
6.75,151.19,
6.76,151.19,
6.77,151.19,
6.78,151.19,
6.79,146.89,
6.8,146.89,
6.81,146.89,
6.82,142.7,
6.83,142.7,
6.84,142.7,
6.85,142.7,
6.86,142.7,
6.87,142.7,
6.88,142.7,
6.89,142.7,
6.9,142.7,
6.91,142.7,
6.92,142.7,
6.93,142.7,
6.94,142.7,
6.95,146.89,
6.96,146.89,
6.97,146.89,
6.98,146.89,
6.99,146.89,
7,155.62,
7.01,155.62,
7.02,164.87,
7.03,174.68,
7.04,174.68,
7.05,174.68,
7.06,179.8,
7.07,179.8,
7.08,179.8,
7.09,174.68,
7.1,174.68,
7.11,164.87,
7.12,160.18,
7.13,155.62,
7.14,151.19,
7.15,138.64,
7.16,138.64,
7.17,138.64,
8.09,240,
8.1,233.17,
8.11,220.08,
8.12,220.08,
8.13,207.73,
8.14,201.82,
8.15,190.49,
8.16,185.07,
8.17,179.8,
8.18,179.8,
10.87,240,
10.88,240,
10.89,254.27,
10.9,254.27,
10.91,254.27,
10.92,254.27,
10.93,247.03,
10.94,247.03,
10.95,240,
10.96,233.17,
10.97,233.17,
10.98,233.17,
12.65,196.07,
12.66,196.07,
12.67,190.49,
12.68,190.49,
12.69,190.49,
12.7,185.07,
12.71,185.07,
12.72,185.07,
12.73,185.07,
12.74,185.07,
12.79,179.8,
12.8,179.8,
12.81,179.8,
12.82,185.07,
12.83,185.07,
12.84,185.07,
12.85,185.07,
12.86,185.07,
12.87,185.07,
12.88,185.07,
12.89,185.07,
12.9,185.07,
13.44,196.07,
13.45,196.07,
13.46,190.49,
13.47,190.49,
13.48,190.49,
13.49,190.49,
13.5,190.49,
13.51,185.07,
13.52,185.07,
13.53,185.07,
13.54,185.07,
13.55,185.07,
13.56,185.07,
13.57,185.07,
13.58,185.07,
13.59,185.07,
13.6,185.07,
13.61,185.07,
13.62,185.07,
13.63,185.07,
13.64,179.8,
13.65,179.8,
13.66,179.8,
14.05,174.68,
14.06,174.68,
14.07,174.68,
14.08,174.68,
14.09,179.8,
14.1,179.8,
14.11,179.8,
15.59,213.82,
15.6,213.82,
15.61,207.73,
15.62,201.82,
15.63,201.82,
15.64,201.82,
15.65,196.07,
15.66,196.07,
15.67,196.07,
16.79,185.07,
16.8,185.07,
16.81,185.07,
16.82,185.07,
16.83,190.49,
16.84,190.49,
16.85,179.8,
16.86,179.8,
16.87,179.8,
16.88,174.68,
16.89,164.87,
16.9,160.18,
16.91,160.18,
16.92,160.18,
16.93,160.18,
16.94,160.18,
16.95,160.18,
16.96,160.18,
17.08,185.07,
17.09,185.07,
17.1,179.8,
17.11,179.8,
17.12,179.8,
17.65,240,
17.66,240,
17.67,233.17,
17.68,220.08,
17.69,213.82,
17.7,207.73,
17.71,201.82,
17.72,190.49,
17.73,190.49,
21.1,185.07,
21.11,185.07,
21.12,185.07,
21.13,185.07,
21.14,185.07,
21.28,254.27,
21.29,254.27,
21.3,261.72,
21.31,269.39,
21.32,285.41,
22.24,185.07,
22.25,185.07,
22.26,185.07,
22.27,174.68,
22.28,174.68,
22.29,174.68,
22.3,174.68,
22.31,169.71,
22.32,160.18,
22.33,160.18,
22.34,160.18,
22.35,160.18,
22.36,160.18,
22.37,155.62,
22.38,155.62,
22.39,155.62,
22.4,155.62,
22.41,164.87,
22.42,164.87,
27.47,190.49,
27.48,190.49,
27.49,190.49,
27.5,190.49,
27.51,190.49,
28.29,164.87,
28.3,164.87,
28.31,164.87,
28.32,164.87,
28.33,164.87,
28.34,164.87,
28.35,164.87,
28.36,164.87,
28.37,169.71,
28.38,174.68,
28.39,179.8,
28.4,185.07,
28.41,185.07,
28.42,185.07,
28.43,190.49,
28.44,190.49,
28.45,196.07,
28.46,196.07,
28.47,201.82,
28.48,201.82,
28.49,201.82,
28.5,201.82,
28.51,196.07,
28.52,196.07,
28.53,196.07,
28.54,196.07,
28.55,196.07,
28.56,196.07,
28.57,179.8,
28.58,179.8,
28.59,179.8,
28.6,179.8,
28.61,174.68,
28.62,169.71,
28.63,169.71,
28.64,164.87,
28.65,160.18,
28.66,160.18,
28.67,155.62,
28.68,146.89,
28.69,142.7,
28.7,142.7,
28.71,142.7,
28.72,142.7,
28.73,142.7,
28.74,142.7,
28.75,142.7,
28.89,146.89,
28.9,146.89,
28.91,151.19,
28.92,151.19,
28.93,151.19,
28.94,151.19,
28.95,155.62,
28.96,155.62,
28.97,155.62,
28.98,155.62,
28.99,164.87,
29,169.71,
29.01,179.8,
29.02,185.07,
29.03,185.07,
29.04,185.07,
29.05,185.07,
29.06,185.07,
29.91,247.03,
29.92,240,
29.93,240,
29.94,240,
29.95,233.17,
29.96,213.82,
29.97,213.82,